Study	Species	Trait	fit.trait	Heritability	Evolvability	Mean	Ie	Type	Scale	Organism	Measure
Jensen.et.al..(2008)	Passer.domesticus	visible.badge.size	no	0.078	0.08	16.066	0.945	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2008)	Passer.domesticus	tarsus.length	no	0.343	0.054	19.605	0.103	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2008)	Passer.domesticus	wing.length	no	0.423	0.019	80.488	0.026	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2008)	Passer.domesticus	bill.depth	no	0.333	0.035	8.202	0.07	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2008)	Passer.domesticus	bill.length	no	0.47	0.055	13.643	0.062	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2008)	Passer.domesticus	body.mass	no	0.353	0.117	31.936	0.214	Size	Weight	Bird	Narrowsense
Jensen.et.al..(2008)	Passer.domesticus	tarsus.length	no	0.456	0.067	19.543	0.08	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2008)	Passer.domesticus	wing.length	no	0.362	0.027	77.999	0.047	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2008)	Passer.domesticus	bill.depth	no	0.525	0.036	8.156	0.032	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2008)	Passer.domesticus	bill.length	no	0.399	0.064	13.699	0.096	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2008)	Passer.domesticus	body.mass	no	0.642	0.164	32.506	0.091	Size	Weight	Bird	Narrowsense
Jia.et.al..(2000)	Achroia.grisella	signal.rate.(SR)	no	0.18	0.0012	46.9	0.0056	Behavior	Ratio	Insect	Realized
Jia.et.al..(2000)	Achroia.grisella	Peak.amplitude.(PA)	no	0.21	0.000072	16.6	0.00027	Behavior	Linear	Insect	Realized
Johnson.et.al..(2009)	Oenothera.biennis	Prop.damaged.leaves	no	0.19	95.844	0.06	408.5981053	LH	Proportion	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	C:N	no	0.4	1.166	15.9	1.749	Physiological	Ratio	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	SLA	no	0.21	0.706	17.62	2.655904762	Shape	Ratio	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	Water.content	no	0.18	0.058	72.74	0.264222222	Physiological	Proportion	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	Trichome.density	no	0.43	9.181	343.18	12.17016279	Shape	Density	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	Total.phenolics	no	0.63	3.204	189.08	1.881714286	Physiological	Ratio	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	Caffeoyl.tataric.acid	no	0.77	11.903	1.43	3.555441558	Physiological	Ratio	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	Ellagitannin1	no	0.73	51.409	3.66	19.01428767	Physiological	Ratio	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	Oenothein3	no	0.78	19.36	52.36	5.460512821	Physiological	Ratio	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	Ellagitannin4	no	0.41	3.842	2.91	5.528731707	Physiological	Ratio	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	Oenothein.A	no	0.91	127.238	13.51	12.58397802	Physiological	Ratio	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	Ellagitannin7	no	0.51	4.121	3.25	3.959392157	Physiological	Ratio	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	Other.ellagitannins	no	0.86	17.893	20.11	2.912813953	Physiological	Ratio	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	Total.ellagitannins	no	0.4	2.434	95.81	3.651	Physiological	Ratio	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	Quercetin.glucuronide	no	0.61	9.61	2.05	6.144098361	Physiological	Ratio	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	Flavonoid.glycoside	no	0.71	15.21	0.17	6.212535211	Physiological	Ratio	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	Kaempferol.glucuronide	no	0.73	14.063	2.19	5.201383562	Physiological	Ratio	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	Flavonoid.glycoside	no	0.69	29.703	0.17	13.34482609	Physiological	Ratio	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	Other.flavonids	no	0.61	9.181	0.23	5.869819672	Physiological	Ratio	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	Total.flavonids	no	0.5	4.537	4.82	4.537	Physiological	Ratio	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	Biomass	no	0.54	97.812	48.43	83.32133333	Size	Weight	Plant	Broadsense
Johnson.et.al..(2009)	Oenothera.biennis	Fruitset	yes	0.38	79.566	115.45	129.8182105	LH	Count	Plant	Broadsense
Kaczorowski.et.al..(2008)	Nicotina.alata	corolla.tube.length	no	0.17	0.182	60.17	0.89	Size	Linear	Plant	Narrowsense
Kaczorowski.et.al..(2008)	Nicotina.alata	corolla.limb.width	no	0.034	0.053	44.34	1.509	Size	Linear	Plant	Narrowsense
Kaczorowski.et.al..(2008)	Nicotina.alata	corolla.mouth.diameter	no	0.044	0.118	7.79	2.556	Size	Linear	Plant	Narrowsense
Kaczorowski.et.al..(2008)	Nicotina.alata	nectar.concentration	no	0.016	0.055	18.1	3.413	Physiological	Density	Plant	Narrowsense
Karoly.&.Conner.(2000)	Raphanus.raphanistrum	relative.filament.dimorph.	no	0.25	0.056	0.83	0.169	Shape	Ratio	Plant	Narrowsense
Kause.et.al..(1999)	Epirrita.autumnata	Number.of.meals	no	0.07	3.557	1.5	47.257	Behavior	Count	Insect	Narrowsense
Kause.et.al..(1999)	Epirrita.autumnata	Size.of.meals	no	0.08	0.555	4.26	6.383	Behavior	Weight	Insect	Narrowsense
Kause.et.al..(1999)	Epirrita.autumnata	Relative.consumption.rate	no	0.02	0.147	23.73	7.225	Behavior	Weight	Insect	Narrowsense
Kause.et.al..(1999)	Epirrita.autumnata	Efficiency.of.digestion	no	0.03	0.139	8.05	4.499	Physiological	Weight	Insect	Narrowsense
Kause.et.al..(1999)	Epirrita.autumnata	Relative.growth.rate	no	0.01	0.0045	21.11	0.444	Growth	Weight	Insect	Narrowsense
Kause.et.al..(1999)	Epirrita.autumnata	Development.rate	yes	0.14	0.267	72.27	1.642	Growth	Weight	Insect	Narrowsense
Kause.et.al..(1999)	Epirrita.autumnata	Larval.period	yes	0.11	0.048	14.16	0.388	LH	Time	Insect	Narrowsense
Kause.et.al..(1999)	Epirrita.autumnata	Initial.mass	no	0.27	0.814	13.62	2.2	Size	Weight	Insect	Narrowsense
Kause.et.al..(1999)	Epirrita.autumnata	Pupal.mass	no	0.22	0.549	72.27	1.947	Size	Weight	Insect	Narrowsense
Kause.et.al..(2001)	Priophorus.pallipes	development.time.	yes	0.386	0.326	NA	0.519	LH	Time	Insect	Narrowsense
Kause.et.al..(2001)	Priophorus.pallipes	final.mass	no	0.54	0.558	NA	0.475	Size	Weight	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.birchii	dessication.resistance	no	0.01	0.355	6.18	35.166	Physiological	Time	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.birchii	dessication.resistance	no	0.04	1.002	NA	24.048	Physiological	Time	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.birchii	dessication.resistance	no	0.06	1.804	6.01	28.257	Physiological	Time	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.birchii	dessication.resistance	no	0.01	0.172	5.98	17.05	Physiological	Time	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.birchii	wing.size.centroid	no	0.29	8.632	NA	21.133	Size	Linear	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.birchii	wing.size.centroid	no	0.22	8.573	NA	30.396	Size	Linear	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.birchii	wing.size.centroid	no	0.07	1.871	NA	24.863	Size	Linear	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.birchii	wing.size.centroid	no	0.44	11.979	NA	15.245	Size	Linear	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.birchii	wing.aspect	no	0.47	20.34	NA	22.937	Shape	Ratio	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.birchii	wing.aspect	no	0.42	14.288	NA	19.732	Shape	Ratio	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.birchii	wing.aspect	no	0.19	6.554	NA	27.939	Shape	Ratio	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.birchii	wing.aspect	no	0.46	15.288	NA	17.947	Shape	Ratio	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.spx	dessication.resistance	no	0.07	2.547	6.56	33.842	Physiological	Time	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.spx	dessication.resistance	no	0	0	NA	NA	Physiological	Time	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.spx	dessication.resistance	no	0.07	2.437	6.67	32.374	Physiological	Time	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.spx	wing.size.centroid	no	0.43	13.148	NA	17.429	Size	Linear	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.spx	wing.size.centroid	no	0.19	6.36	NA	27.116	Size	Linear	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.spx	wing.size.centroid	no	0.32	16.201	NA	34.426	Size	Linear	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.spx	wing.aspect	no	0.3	11.492	NA	26.815	Shape	Ratio	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.spx	wing.aspect	no	0.41	35.165	NA	50.603	Shape	Ratio	Insect	Narrowsense
Kellermann.et.al..(2006)	Drosophila.spx	wing.aspect	no	0.35	20.612	NA	38.279	Shape	Ratio	Insect	Narrowsense
Ketola.&.Kotiaho.(2009)	Gryllodes.sigillatus	Resting.metabolic.rate	no	0.142	1.823503817	0.159	11.01807236	Physiological	Volume	Insect	Narrowsense
Ketola.&.Kotiaho.(2009)	Gryllodes.sigillatus	Exercise.metabolic.rate	no	0.718	4.913509827	0.254	1.929818623	Physiological	Volume	Insect	Narrowsense
Ketola.&.Kotiaho.(2009)	Gryllodes.sigillatus	Metabolic.scope	no	0	8.24E-06	0.096	NA	Physiological	Volume	Insect	Narrowsense
Ketola.&.Kotiaho.(2009)	Gryllodes.sigillatus	Endurance	no	0.491	25.18210198	0.031	26.10527476	Physiological	Time	Insect	Narrowsense
Ketola.&.Kotiaho.(2009)	Gryllodes.sigillatus	Body.mass	no	0.585	2.140199317	231.3	1.518261054	Size	Weight	Insect	Narrowsense
Ketola.&.Kotiaho.(2009)	Gryllodes.sigillatus	Pronotum.width	no	0.503	0.243169703	3.927	0.240269071	Size	Linear	Insect	Narrowsense
Ketola.&.Kotiaho.(2009)	Gryllodes.sigillatus	Tibia.length	no	0.59	0.320705237	6.839	0.222862961	Size	Linear	Insect	Narrowsense
Ketola.&.Kotiaho.(2009)	Gryllodes.sigillatus	Wing.size	no	0.434	0.538025302	0.299	0.701664334	Size	Area	Insect	Narrowsense
Ketola.&.Kotiaho.(2009)	Gryllodes.sigillatus	Harp.size	no	0.369	0.358654489	0.067	0.613308895	Size	Area	Insect	Narrowsense
Kilpimaa.et.al..(2005)	Parus.major	PHA	no	0.07	0.857	62.92	11.392	Physiological	Linear	Bird	Narrowsense
Kobayashi.et.al..(2003)	Heterospilus.prosopidis	parasitic.rate	no	0.498	4.113	12.597	4.146	LH	Count	Insect	Narrowsense
Kobayashi.et.al..(2003)	Heterospilus.prosopidis	parasitic.rate	no	0.516	5.163	12.913	4.843	LH	Count	Insect	Narrowsense
Koelwijn.&.Hunscheid.(2000)	Plantago.coronopus	"Androecium.weight,.high.nutrient"	no	0.5	1.04	177	1.04	Size	Weight	Plant	Broadsense
Koelwijn.&.Hunscheid.(2000)	Plantago.coronopus	"Gynoecium.weight,.high.nutrient"	no	0.35	1.166	28.7	2.165	Size	Weight	Plant	Broadsense
Koelwijn.&.Hunscheid.(2000)	Plantago.coronopus	"Floral.weight,.high.nutrient"	no	0.23	0.49	137.4	1.64	Size	Weight	Plant	Broadsense
Koelwijn.&.Hunscheid.(2000)	Plantago.coronopus	"Seedweight,.high.nutrient"	no	0.1	0.757	116.6	6.813	Size	Weight	Plant	Broadsense
Koelwijn.&.Hunscheid.(2000)	Plantago.coronopus	"n.seeds.per.flower,.high.nutrient"	yes	0.25	1.664	3.7	4.992	LH	Count	Plant	Broadsense
Koelwijn.&.Hunscheid.(2000)	Plantago.coronopus	"Androecium.weight,low.nutrient"	no	0.56	2.016	173.4	1.584	Size	Weight	Plant	Broadsense
Koelwijn.&.Hunscheid.(2000)	Plantago.coronopus	"Gynoecium.weight,.low.nutrient"	no	0.48	4.08	27.8	4.42	Size	Weight	Plant	Broadsense
Koelwijn.&.Hunscheid.(2000)	Plantago.coronopus	"Floral.weight,.low.nutrient"	no	0.62	1.103	165.2	0.676	Size	Weight	Plant	Broadsense
Koelwijn.&.Hunscheid.(2000)	Plantago.coronopus	"Seedweight,.low.nutrient"	no	0.17	1.69	87.3	8.251	Size	Weight	Plant	Broadsense
Koelwijn.&.Hunscheid.(2000)	Plantago.coronopus	"n.seeds.per.flower,.low.nutrient"	yes	0.1	1.21	3	10.89	LH	Count	Plant	Broadsense
Kontiainen.et.al..(2008)	Strix.uralensis	egg.size	no	0.598	0.205146302	42.44	0.137907715	Size	Volume	Bird	Narrowsense
Kruuk.et.al.(2003)	Cervus.elaphus	FA.Brow.tine.length	no	0.042	4.439	1.776	101.241	DS	Linear	Mammal	Narrowsense
Kruuk.et.al.(2003)	Cervus.elaphus	FA.Antler.length	no	0.05	7.646	2.407	145.28	DS	Linear	Mammal	Narrowsense
Kruuk.et.al.(2003)	Cervus.elaphus	FA.Antler.dry.weight	no	0.000005	0.00035	41.588	69.381	DS	Weight	Mammal	Narrowsense
Kruuk.et.al.(2003)	Cervus.elaphus	FA.n.antler.points	no	0.044	3.587	0.409	77.931	DS	Count	Mammal	Narrowsense
Kruuk.et.al..(2002)	Cervus.elaphus.	age.corrected.antler.mass	no	0.329	2.281	NA	4.653	Size	Weight	Mammal	Narrowsense
Larsson.(1993)	Branta.Leucopsis	Tarsus.poor.nutr	no	0.16	0.017	80.41	0.088	Size	Linear	Bird	Narrowsense
Larsson.(1993)	Branta.Leucopsis	Tarsus.normal	no	0.53	0.082	81.02	0.072	Size	Linear	Bird	Narrowsense
Larsson.(1993)	Branta.Leucopsis	Tarsus.rich	no	0.67	0.086	80.94	0.043	Size	Linear	Bird	Narrowsense
Larsson.(1993)	Branta.Leucopsis	Head.poor.nutr	no	0.1	0.01	82.06	0.086	Size	Linear	Bird	Narrowsense
Larsson.(1993)	Branta.Leucopsis	Head.normal.nutr	no	0.44	0.052	82.16	0.067	Size	Linear	Bird	Narrowsense
Larsson.(1993)	Branta.Leucopsis	Head.Rich.nutr	no	0.44	0.057	82.9	0.072	Size	Linear	Bird	Narrowsense
Larsson.(1993)	Branta.Leucopsis	Body.mass.poor.nutr	no	0.14	0.077	1647	0.471	Size	Weight	Bird	Narrowsense
Larsson.(1993)	Branta.Leucopsis	Body.mass.normal.nutr	no	0.6	0.467	1686	0.311	Size	Weight	Bird	Narrowsense
Larsson.(1993)	Branta.Leucopsis	Body.mass.rich.nutr	no	0.31	0.297	1720	0.661	Size	Weight	Bird	Narrowsense
Lauteri.et.al..(2004)	Castanea.sativa	"Carbon.isotope.discrimination.in.32C,.well.watered"	no	0.43	0.16	24.11	0.212093023	Physiological	NA	Plant	Fullsib
Lauteri.et.al..(2004)	Castanea.sativa	"Carbon.isotope.discrimination.in.25C,.dry."	no	0.15	0.0676	23.86	0.383066667	Physiological	NA	Plant	Fullsib
Lauteri.et.al..(2004)	Castanea.sativa	"Carbon.isotope.discrimination.in.25C,.well.watered"	no	0.29	0.09	23.94	0.220344828	Physiological	NA	Plant	Fullsib
Lauteri.et.al..(2004)	Castanea.sativa	"Carbon.isotope.discrimination.in.25C,.Dry."	no	0.52	0.16	23.61	0.147692308	Physiological	NA	Plant	Fullsib
Le.Galliard.et.al..(2006)	Lacerta.vivipara	Female.SVL.at.hatching	no	1.11	0.264626214	22.26	-0.026224219	Size	Linear	Herp	Fullsib
Le.Galliard.et.al..(2006)	Lacerta.vivipara	Female.Growth.rate	no	0.68	12.03613281	0.128	5.6640625	Growth	Ratio	Herp	Fullsib
Le.Galliard.et.al..(2006)	Lacerta.vivipara	Male.SVl.at.hatching	no	0.96	0.224474244	21.55	0.009353093	Size	Linear	Herp	Fullsib
Le.Galliard.et.al..(2006)	Lacerta.vivipara	Male.growth.rate	no	0.72	14.98439126	0.124	5.827263267	Growth	Ratio	Herp	Fullsib
Leamy.(1999)	Mus.domesticus	Mandible.1	no	0.3	0.017	6.38	0.041	Size	Linear	Mammal	Narrowsense
Leamy.(1999)	Mus.domesticus	M2	no	0.5	0.029	11.72	0.029	Size	Linear	Mammal	Narrowsense
Leamy.(1999)	Mus.domesticus	M3	no	0.39	0.015	15.61	0.023	Size	Linear	Mammal	Narrowsense
Leamy.(1999)	Mus.domesticus	M4	no	0.35	0.014	8.82	0.027	Size	Linear	Mammal	Narrowsense
Leamy.(1999)	Mus.domesticus	M5	no	0.52	0.07	6.29	0.065	Size	Linear	Mammal	Narrowsense
Leamy.(1999)	Mus.domesticus	M6	no	0.45	0.029	9.23	0.036	Size	Linear	Mammal	Narrowsense
Leamy.(1999)	Mus.domesticus	M7	no	0.42	0.033	3.43	0.045	Size	Linear	Mammal	Narrowsense
Leamy.(1999)	Mus.domesticus	M8	no	0.2	0.017	6.63	0.07	Size	Linear	Mammal	Narrowsense
Leamy.(1999)	Mus.domesticus	M9	no	0.46	0.038	7.63	0.044	Size	Linear	Mammal	Narrowsense
Leamy.(1999)	Mus.domesticus	M10	no	0.54	0.042	7.69	0.036	Size	Linear	Mammal	Narrowsense
Leamy.(1999)	Mus.domesticus	Fluctuating.asymmetry.M1	no	-0.08	0	0.079	NA	DS	Linear	Mammal	Narrowsense
Leamy.(1999)	Mus.domesticus	FA.M2	no	0.07	0.689	0.13	9.153	DS	Linear	Mammal	Narrowsense
Leamy.(1999)	Mus.domesticus	FA.M3	no	-0.07	0	0.119	NA	DS	Linear	Mammal	Narrowsense
Leamy.(1999)	Mus.domesticus	FA.M4	no	0.06	0.563	0.089	8.813	DS	Linear	Mammal	Narrowsense
Leamy.(1999)	Mus.domesticus	FA.M5	no	-0.06	0	0.108	NA	DS	Linear	Mammal	Narrowsense
Leamy.(1999)	Mus.domesticus	FA.M6	no	0.06	0.624	0.094	9.778	DS	Linear	Mammal	Narrowsense
Leamy.(1999)	Mus.domesticus	FA.M7	no	0.04	0.384	0.056	9.226	DS	Linear	Mammal	Narrowsense
Leamy.(1999)	Mus.domesticus	FA.M8	no	0.09	0.884	0.104	8.934	DS	Linear	Mammal	Narrowsense
Leamy.(1999)	Mus.domesticus	FA.M9	no	0.01	0.068	0.113	6.692	DS	Linear	Mammal	Narrowsense
Leamy.(1999)	Mus.domesticus	FA.M10	no	-0.02	0	0.111	NA	DS	Linear	Mammal	Narrowsense
Lew.et.al..(2006)	Drosophila.melanogaster	lifetime.fecundity	yes	0.038	0.492	29.699	12.44	LH	Count	Insect	Narrowsense
Linder.&.Rice.(2005)	Drosophila.melanogaster	Lifetime.fecundity	yes	0.136	0.235225	NA	1.494370588	LH	Count	Insect	Narrowsense
Long.et.al..(2009)	Drosophila.melanogaster	Life-time.fecundity.(female)	yes	0.573	5.162331092	37.19	3.846972733	LH	Count	Insect	Narrowsense
Lynch.et.al..(1999)	Daphnia.pulex	size.at.birth	no	0.099	0.033	0.623	0.305	Size	Linear	Crustacean	Broadsense
Lynch.et.al..(1999)	Daphnia.pulex	size.first.adult.instar	no	0.167	0.109	1.794	0.541	Size	Linear	Crustacean	Broadsense
Lynch.et.al..(1999)	Daphnia.pulex	size.second.adult.instar	no	0.108	0.052	2.046	0.428	Size	Linear	Crustacean	Broadsense
Lynch.et.al..(1999)	Daphnia.pulex	size.third.adult.instar	no	0.202	0.154	2.232	0.609	Size	Linear	Crustacean	Broadsense
Lynch.et.al..(1999)	Daphnia.pulex	size.fourth.adult.instar	no	0.272	0.208	2.388	0.558	Size	Linear	Crustacean	Broadsense
Lynch.et.al..(1999)	Daphnia.pulex	first.clutch.size	yes	0.12	2.421	8.105	17.751	LH	Count	Crustacean	Broadsense
Lynch.et.al..(1999)	Daphnia.pulex	second.clutch.size	yes	0.209	4.035	16.4	15.271	LH	Count	Crustacean	Broadsense
Lynch.et.al..(1999)	Daphnia.pulex	third.clutch.size	yes	0.107	1.814	20.776	15.138	LH	Count	Crustacean	Broadsense
Lynch.et.al..(1999)	Daphnia.pulex	fourth.clutch.size	yes	0.188	7.752	22.591	33.483	LH	Count	Crustacean	Broadsense
Lynch.et.al..(1999)	Daphnia.pulex	age.maturity	yes	0.381	6.559	8.684	10.656	LH	Time	Crustacean	Broadsense
Lynch.et.al..(1999)	Daphnia.pulex	age.1st.clutch	yes	0.003	0.129	12.976	42.99	LH	Time	Crustacean	Broadsense
Lynch.et.al..(1999)	Daphnia.pulex	age.2d.clutch	yes	0	0.126	17.346	NA	LH	Time	Crustacean	Broadsense
Lynch.et.al..(1999)	Daphnia.pulex	age.3rd.clutch	yes	0	0.072	22.001	NA	LH	Time	Crustacean	Broadsense
Lynch.et.al..(1999)	Daphnia.pulex	juvenil.growth.rate	no	0.052	0.25	0.128	4.558	LH	Transformed	Crustacean	Broadsense
Lynch.et.al..(1999)	Daphnia.pulex	1st.adult.instar.GR	no	0.058	2.028	0.033	32.945	LH	Transformed	Crustacean	Broadsense
Lynch.et.al..(1999)	Daphnia.pulex	2d.adult.instar.GR	no	0	0.227	0.021	NA	LH	Transformed	Crustacean	Broadsense
Lynch.et.al..(1999)	Daphnia.pulex	3rd.adult.instar.GR	no	0.075	6.612	0.014	81.551	LH	Transformed	Crustacean	Broadsense
Lynch.et.al..(1999)	Daphnia.pulex	4th.adult.instar.GR	no	0.112	2.066	0.016	16.384	LH	Transformed	Crustacean	Broadsense
MacColl.&.Hatchwell.(2003)	Aegithalos.caudatus	Reproductive.effort	yes	0.43	3.724	136.9	4.936	Behavior	Count	Bird	Narrowsense
Magalahes.et.al..(2007)	Tetranychus.urticae	Fecundity.on.tomato	yes	0.11	14.44	10.24	116.8327273	LH	Count	Arachnid	Narrowsense
Magalahes.et.al..(2007)	Tetranychus.urticae	Fecundity.on.pepper	yes	0.06	7.29	8.52	114.21	LH	Count	Arachnid	Narrowsense
Magalahes.et.al..(2007)	Tetranychus.urticae	Longevity.on.tomato	yes	0.04	0.81	7.42	19.44	LH	Time	Arachnid	Narrowsense
Magalahes.et.al..(2007)	Tetranychus.urticae	Longevity.on.pepper	yes	0.05	0.81	9.22	15.39	LH	Time	Arachnid	Narrowsense
Manier.et.al..(2007)	Thamnophis.elegans	Bkgrd	no	0.48	0.75	4.8	0.8125	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Dor.hue	no	0.58	1.064237076	25.1	0.770654434	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Dor.sat	no	0.54	0.261807407	202.5	0.223021125	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Dor.lt	no	0.37	0.086010842	168	0.146450893	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Lat.hue	no	0.62	1.344991287	25.8	0.824349498	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Lat.sat	no	0.04	0.030747868	199.6	0.737948844	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Lat.lt	no	0.28	0.051171404	173.1	0.131583611	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Dor.red	no	0.63	0.024561399	243.1	0.014424949	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Dor.grn	no	0.6	0.295248635	195.3	0.196832423	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Dor.blu	no	0.35	0.711788214	114.3	1.321892397	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Lat.red	no	0.01	0.000373174	243.3	0.036944236	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Lat.grn	no	0.55	0.188428091	201.6	0.154168438	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Lat.blue	no	0.25	0.425104	125	1.275312	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Bkgrd	no	0.8	1.303757356	4.7	0.325939339	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Dor.hue	no	0.73	0.916254885	24.1	0.338888793	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Dor.sat	no	0.21	0.0995351	201.9	0.374441567	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Dor.lt	no	0.22	0.063439488	167.6	0.224921822	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Lat.hue	no	0.31	0.520316675	24.7	1.158124211	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Lat.sat	no	0.17	0.154117341	198.5	0.752455253	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Lat.lt	no	0.25	0.060281455	173.1	0.180844364	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Dor.red	no	0.32	0.01147653	242.9	0.024387627	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Dor.grn	no	0.35	0.146442518	191.7	0.271964677	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Dor.blu	no	0.16	0.406181809	113.6	2.132454498	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Lat.red	no	0.14	0.005458089	243.1	0.033528259	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Lat.grn	no	0.26	0.087442708	198.3	0.248875401	Pattern	NA	Herp	Fullsib
Manier.et.al..(2007)	Thamnophis.elegans	Lat.blue	no	0.24	0.559452678	125.1	1.771600146	Pattern	NA	Herp	Fullsib
Mappes.&.Koskela.(2004)	Clethrionomys.glareolus	litter.size	yes	0.78	4.244	5.15	1.197	LH	Count	Mammal	Narrowsense
Mappes.&.Koskela.(2004)	Clethrionomys.glareolus	head.width	no	0.83	0.168	8.23	0.034	Size	Linear	Mammal	Narrowsense
Mappes.&.Koskela.(2004)	Clethrionomys.glareolus	body.mass	no	0.86	1.057	1.85	0.172	Size	Weight	Mammal	Narrowsense
Mazer.et.al..(1999)	Spergularia.marina	ovules.per.flower	yes	0.25	0.753	103.15	2.259	LH	Count	Plant	Realized
Mazer.et.al..(1999)	Spergularia.marina	ovules.per.flower	yes	0.11	0.331	103.15	2.68	LH	Count	Plant	Realized
Mazer.et.al..(1999)	Spergularia.marina	anther.per.flower	yes	0.35	1.413	4.48	2.623	LH	Count	Plant	Realized
Mazer.et.al..(1999)	Spergularia.marina	anther.per.flower	yes	0.47	1.897	4.48	2.139	LH	Count	Plant	Realized
